City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
165,Charters Towers,AU,83.23,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
166,Ugoofaaru,MV,80.65,moderate rain,5.6667,73.0,Ungoofaaru Inn
167,Kudahuvadhoo,MV,82.56,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
168,Galle,LK,78.28,overcast clouds,6.0367,80.217,Amangalla
169,Port Blair,IN,81.81,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
170,Grand Island,US,84.15,clear sky,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
171,Salalah,OM,78.89,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
172,Kollam,IN,76.3,overcast clouds,8.8833,76.6,The Raviz Ashtamudi
173,Skeldon,GY,76.41,few clouds,5.8833,-57.1333,Classic International Hotel & Suites
174,Lincoln,US,87.71,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
175,Karaton,ID,79.25,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
176,Salina Cruz,MX,83.25,overcast clouds,16.1667,-95.2,Amerik HOTEL
177,Elizabeth City,US,82.06,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
178,Banda Aceh,ID,83.52,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
179,Isla Mujeres,MX,80.65,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
180,Korla,CN,88.57,broken clouds,41.7597,86.1469,Gulisitan Hotel
181,Yarada,IN,82.72,moderate rain,17.65,83.2667,Yarada Jungle Beach Resorts
182,Huimanguillo,MX,77.68,few clouds,17.85,-93.3833,Hotel Guayacan
183,Surt,LY,80.1,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
184,Douentza,ML,84.74,overcast clouds,14.9951,-2.9517,Ogomono Doumbo
185,Moussoro,TD,80.37,overcast clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
186,Aquin,HT,80.08,scattered clouds,18.2833,-73.4,Asheev Beach
187,San Andres,CO,78.82,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
188,Bloomfield,US,84.06,clear sky,40.8068,-74.1854,Troy Carroll
189,Helong,CN,82.89,overcast clouds,42.5397,128.9972,Helong Hotel
190,Brigantine,US,79.0,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
191,Kota Bahru,MY,80.55,few clouds,6.1333,102.2386,Grand Riverview Hotel
192,Linxia,CN,78.35,clear sky,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
193,Rosarito,MX,83.66,few clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
194,Jizan,SA,83.34,overcast clouds,17.3333,42.6667,شهدان. ابوالحجر
